,BSSH_NM,ADDR,HG_ASGN_LV
61,푸라닭 창원감계점,경상남도 창원시 의창구 북면 감계로110번길 54-3(에이스상가 지하층 101호),매우우수
62,네오 클레시끄(Neo Classique),서울특별시 서대문구 신촌로 221(1층 가호 북아현동),매우우수
63,B.H.C. 양주덕정점,"경기도 양주시 고암길 200-8(고암동, 102호)",매우우수
64,호식이두마리치킨 난곡점,서울특별시 관악구 난향5길 2(신림동),매우우수
65,굽네치킨(중동2호점),"경기도 부천시 길주로 273(110호 중동, 신명타운)",매우우수
66,교촌치킨,경기도 고양시 일산서구 일현로 31(1층 일부호 탄현동),매우우수
67,이디야커피 가천대점,경기도 성남시 수정구 성남대로 1334(110-1호 태평동),매우우수
68,60계치킨 강원횡성점,강원도 횡성군 횡성읍 읍상로 22-1,매우우수
69,(주)현대그린푸드 카페베즐리익스프레스,"충청북도 청주시 흥덕구 직지대로 308(복대동, 현대백화점충청점지하2층)",매우우수
70,본정케익초콜릿,"충청북도 청주시 흥덕구 직지대로 308(복대동, 현대백화점충청점지하1층)",매우우수
71,교촌치킨 송우점,"경기도 포천시 소흘읍 송우로 75(1층 103,104호)",매우우수
72,지비디(gbd),"부산광역시 해운대구 좌동로14번길 54(중동, 1층,2층일부)",매우우수
73,베스킨라빈스 문현점,부산광역시 남구 수영로 36(1층 문현동),매우우수
74,스트릿츄러스 충청현대점,충청북도 청주시 흥덕구 직지대로 308(현대백화점 지하1층 일부호 복대동),좋음
75,엔제리너스 부천역점,경기도 부천시 부일로 460(시네마존 101호 심곡동),매우우수
76,멕시카나치킨 화정점,광주광역시 서구 염화로 103(1층 화정동),좋음
77,치킨플러스 주월점,광주광역시 남구 회서로11번길 2(1층 주월동),좋음
78,공차더블유스퀘어점,"부산광역시 남구 분포로 145(더블유스퀘어동 1층 1024,1025호 용호동, 더블유)",매우우수
79,60계태안점,충청남도 태안군 태안읍 후곡로 132,우수
80,던킨도너츠,경기도 포천시 중앙로119번길 2(신읍동),좋음
81,GS25금석원룸,충청북도 음성군 금왕읍 금석택지1길 9-1,우수
82,지에스25가좌중앙점,"경상남도 진주시 진주대로 554(가좌동, 1층일부)",우수
83,배스킨라빈스,경상남도 밀양시 삼문중앙로 23(삼문동),매우우수
84,뿔난황소곱창 다산신도시점,경기도 남양주시 다산중앙로123번길 22-8(리더스퀘어 111호 다산동),매우우수
85,BHC치킨 강북구청점,서울특별시 강북구 한천로143길 36(수유동),매우우수
86,그래인스,"충청북도 청주시 흥덕구 직지대로 308(복대동, 현대백화점충청점지하1층)",매우우수
87,박가부대,"서울특별시 중구 한강대로 416(남대문로5가, 서울스퀘어 지하1층 19호)",좋음
88,참진주면옥,경상남도 진주시 가호로 76(1층 호탄동),매우우수
89,비에이치씨구미산동점,"경상북도 구미시 산동읍 신당2로 57(1동 1층 108,109호)",매우우수
90,교촌치킨(왕암점),충청북도 제천시 소새로1길 11(1층 왕암동),매우우수
91,60계치킨제주서귀포중문점,제주특별자치도 서귀포시 천제연로 268(1층 104호 중문동),매우우수
92,포천신북점이디야,경기도 포천시 신북면 호국로 2000(주건축물제2동),매우우수
93,배스킨라빈스창원동읍점,경상남도 창원시 의창구 동읍 의창대로 856(102동 1층 101호 원창호수아파트),매우우수
94,던킨도너츠양천구청점,"서울특별시 양천구 목동서로 349(신정동, 센트럴프라자1층105호)",매우우수
95,GS25 제천장락타운,충청북도 제천시 신죽하로 83-11(1층 고암동),매우우수
96,인가베,경상남도 진주시 강변길10번길 16(1층 일부 호탄동),매우우수
97,던킨충남태안점,충청남도 태안군 태안읍 후곡로 132,매우우수
98,BHC백운양림점,광주광역시 남구 진다리로 46(2층 백운동),우수
99,푸라닭 음성금왕점,충청북도 음성군 금왕읍 무극로 206(1층),매우우수
100,공차(Gong Cha),"충청북도 청주시 흥덕구 직지대로 308(지하1층 복대동, 현대백화점 충청점)",매우우수
101,파리바게뜨중동교점,대구광역시 수성구 청수로4길 8(1층 중동),매우우수
102,비에이치씨(bhc),경기도 양주시 고읍남로191번길 86-23(103호 광사동),매우우수
103,파리바게뜨,"서울특별시 중구 새문안로 30(충정로1가,지상1층)",매우우수
104,롯데컬처윅스(주) 롯데시네마 수유 스위트샵,서울특별시 강북구 도봉로 308(10층 번동),매우우수
105,비에이치씨 옥계점,경상북도 구미시 흥안로 18(1층 옥계동),매우우수
106,이디야커피,광주광역시 남구 백운로 73(1층 백운동),매우우수
107,지에스25시편의점,제주특별자치도 제주시 도령로 31(노형동),우수
108,폴바셋 현대프리미엄아울렛 남양주점,경기도 남양주시 다산순환로 50(현대프리미엄아울렛 SPACE1-A148호 다산동),매우우수
109,던킨도너츠비아이에프씨점,부산광역시 남구 문현금융로 40(부산국제금융센터 A동 1층 A111호 문현동),매우우수
110,플래넷부천점,경기도 부천시 장말로 229-4(1층 일부호 중동),매우우수
111,CGV진주혁신,경상남도 진주시 에나로127번길 30(드림어반스퀘어 4층 407호 충무공동),매우우수
112,한국맥도날드(유)진주가좌DT점,"경상남도 진주시 진주대로 612(가좌동, 1층,2층,3층)",매우우수
113,지에스25동남센터점,충청북도 청주시 상당구 중고개로125번길 17(1층 103호 용암동),우수
114,BURGER KING 버거킹 충북혁신도시점,충청북도 음성군 맹동면 대하2가길 11(101~104호),매우우수
115,비스포킷 신세계센텀시티점,부산광역시 해운대구 센텀남대로 35(신세계백화점센텀시티점 지하1층 일부호 우동),매우우수
116,교촌치킨,충청남도 태안군 태안읍 중앙로 133-5,매우우수
117,투썸플레이스(A TWOSOME PLACE) 제천강저점,충청북도 제천시 청풍호로10길 40(1층 강제동),매우우수
118,마당예쁜집,강원도 철원군 동송읍 이평로 123,매우우수
119,짬뽕지존,대구광역시 수성구 상록로 5(2층 범어동),매우우수
120,BHC명동점,"서울특별시 중구 명동7길 21(1층 을지로2가, 명동아르누보센텀 111호)",우수
121,비에이치씨송정점,"경상북도 구미시 박정희로 599(상가동 1층 102,103호 송정동, 푸르지오캐슬 A단지)",매우우수
122,파스쿠찌울산신정점,"울산광역시 남구 동산로29번길 4(104, 201호 신정동)",매우우수
123,교촌치킨흥해점,경상북도 포항시 북구 흥해읍 남미질로 7-1(1층),매우우수
124,투썸플레이스 용인흥덕점,"경기도 용인시 기흥구 흥덕중앙로 55(리써밋타워 1,2층 106,107,204호 영덕동)",매우우수
125,뚜레쥬르양산석산점,"경상남도 양산시 동면 금오16길 6(1층 101호,102호)",우수
126,고피자목포하당점,전라남도 목포시 비파로43번길 22(1층 상동),매우우수
127,고래카페테리아,울산광역시 남구 산업로 654(태화강역 3층 삼산동),매우우수
128,이디야커피배곧고등학교점,"경기도 시흥시 배곧4로 87(베스트프라자 1층 116, 117호 정왕동)",매우우수
129,교촌치킨 동천1호점,경기도 용인시 수지구 동천로113번길 5(1층 일부호 동천동),매우우수
130,교촌치킨 덕계점,경상남도 양산시 덕계로 51(1층 덕계동),매우우수
131,고피자(목포북항점),전라남도 목포시 청호로 188(산정동),매우우수
132,비에이치씨(BHC)오산누읍점,경기도 오산시 발안로 1367(석선빌딩 102호 누읍동),좋음
133,투썸플레이스 성복점,"경기도 용인시 수지구 성복1로 35(지하2층 118호, 119호, 120호, 121호 성복동, 성복역 롯데캐슬 클라시엘)",매우우수
134,네네치킨,"울산광역시 남구 수암로196번길 7(지하 1층 101호 야음동, 미도아파트 상가)",매우우수
135,"BHC 치킨(평산, 덕계점)",경상남도 양산시 평산남로 46(평산동),매우우수
136,도이창카페배곧롯데마트점,"경기도 시흥시 서울대학로278번길 67(2층 정왕동, 롯데마트시흥배곧점 내)",매우우수
137,이비스스타일 스카이킹덤,서울특별시 용산구 청파로20길 95(31~33층 한강로3가),매우우수
